Hours_Studied,Attendance,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Exam_Score
17,79,Yes,7,82,66
16,62,No,4,89,65
20,99,No,8,75,70
27,89,No,7,65,70
23,73,Yes,9,75,68
18,73,No,8,53,64
25,78,No,7,86,68
3,85,No,8,73,62
27,66,Yes,6,95,68
10,68,No,6,96,61
18,94,Yes,7,56,69
13,70,Yes,7,100,65
12,75,Yes,6,98,65
27,95,No,7,81,72
17,87,Yes,7,91,70
22,74,Yes,10,51,65
20,87,No,7,99,69
23,61,Yes,6,73,65
20,89,Yes,7,95,69
12,79,Yes,9,69,65
26,93,Yes,9,89,72
17,98,Yes,10,71,70
11,97,Yes,7,68,64
17,96,No,8,97,67
29,80,No,5,85,69
25,74,Yes,6,92,70
18,79,Yes,5,77,65
18,88,Yes,8,96,69
18,95,Yes,7,87,74
32,68,Yes,7,54,66
22,97,Yes,6,88,72
23,93,Yes,8,51,67
26,99,Yes,4,91,75
21,95,Yes,7,67,70
18,71,No,7,80,63
19,64,No,4,87,65
20,64,No,8,82,64
20,72,No,7,84,65
24,85,Yes,8,95,70
20,92,No,10,69,67
24,96,Yes,7,77,67
20,85,No,8,59,68
20,60,No,9,73,65
8,67,Yes,8,58,61
25,64,Yes,6,82,63
22,75,Yes,5,66,80
26,80,Yes,8,93,69
3,62,No,6,67,55
33,74,No,9,64,70
19,67,Yes,6,75,65
27,86,Yes,7,59,68
14,79,Yes,5,60,64
24,80,No,6,89,69
14,77,No,6,75,89
16,98,Yes,6,60,67
31,69,No,7,52,92
19,81,No,6,73,67
21,89,Yes,10,87,70
25,82,No,8,68,68
23,97,Yes,9,62,70
21,75,Yes,7,70,67
22,79,Yes,7,98,69
34,64,No,6,71,67
20,84,Yes,10,63,69
21,72,No,7,78,63
26,66,No,6,91,69
27,82,No,6,51,66
27,81,No,8,78,68
24,63,Yes,9,92,69
13,88,Yes,9,61,66
30,85,Yes,6,96,72
13,68,Yes,6,79,62
22,79,No,9,76,67
15,89,No,10,98,67
20,81,Yes,7,56,67
22,76,No,9,87,65
22,73,No,5,91,67
23,84,No,6,74,66
30,98,Yes,5,50,70
23,87,No,8,76,71
19,63,Yes,7,58,64
26,78,Yes,7,78,69
27,96,Yes,9,87,72
13,64,Yes,6,77,60
24,100,Yes,7,82,71
24,98,Yes,5,55,71
18,63,No,9,55,66
28,97,No,9,93,74
19,75,No,8,52,64
21,94,Yes,7,64,68
19,77,No,6,97,66
20,78,No,5,73,65
13,85,Yes,7,84,64
11,91,No,8,61,65
30,61,No,10,64,69
15,84,Yes,6,75,68
14,67,No,7,82,62
7,74,No,9,98,63
16,74,No,9,79,65
12,79,No,6,55,62
30,73,No,7,68,67
26,64,No,6,62,64
16,66,No,6,63,61
34,61,No,9,75,65
26,79,No,7,66,67
18,98,No,7,64,70
5,65,Yes,7,98,59
34,98,No,7,79,75
12,89,Yes,7,63,67
10,85,Yes,6,64,64
26,86,Yes,9,91,72
35,93,Yes,6,94,76
28,64,Yes,6,84,69
23,80,No,7,72,65
24,88,No,10,88,72
25,83,Yes,6,97,69
25,93,No,8,58,71
22,63,No,7,93,64
21,88,Yes,7,92,74
20,81,Yes,8,68,68
15,75,Yes,4,65,66
18,74,No,6,78,65
10,85,Yes,8,64,67
19,96,No,7,57,69
14,80,Yes,7,98,66
13,93,Yes,8,75,69
21,76,Yes,6,74,67
28,64,Yes,9,56,64
26,62,No,8,75,67
11,62,Yes,7,87,61
14,75,Yes,8,62,61
26,73,Yes,9,68,68
14,89,No,6,59,66
19,90,No,8,68,66
23,62,No,10,93,68
14,69,No,8,62,63
21,71,Yes,7,51,66
12,82,Yes,10,77,66
16,66,Yes,7,79,66
22,65,Yes,9,66,65
10,98,Yes,6,82,69
23,92,No,9,52,71
20,67,No,6,67,66
23,76,Yes,7,57,66
21,74,Yes,6,61,65
28,92,No,10,69,71
21,80,No,7,75,69
17,65,Yes,5,55,61
21,90,Yes,7,55,70
23,76,No,8,84,70
20,71,No,7,70,65
20,75,Yes,6,59,64
16,80,Yes,9,62,68
16,74,Yes,9,86,63
12,70,No,5,53,63
30,76,Yes,6,75,71
13,61,No,7,68,58
16,91,Yes,6,91,68
16,67,No,8,90,65
25,62,No,10,84,65
18,86,Yes,6,69,68
27,91,Yes,9,82,69
16,93,Yes,5,82,71
22,80,No,8,67,65
15,68,Yes,6,94,64
33,89,No,8,99,75
13,88,No,4,66,67
22,70,Yes,5,90,68
24,96,No,8,75,72
22,64,No,6,73,67
19,99,No,7,69,72
19,94,Yes,10,65,69
20,88,No,7,96,68
19,98,Yes,8,87,70
26,89,No,6,72,69
33,68,Yes,5,88,67
17,78,No,7,86,63
12,63,No,5,63,61
19,76,Yes,6,59,66
35,90,Yes,7,92,73
15,75,Yes,7,91,67
30,73,Yes,8,100,72
30,84,No,8,51,69
17,95,No,5,77,69
23,62,Yes,6,85,63
30,75,Yes,4,79,67
18,66,No,6,86,63
19,88,Yes,8,57,66
17,64,No,9,50,62
14,87,Yes,7,55,68
16,71,No,9,69,65
13,68,Yes,8,66,59
20,97,Yes,7,94,72
15,61,Yes,6,54,63
21,78,No,4,72,68
11,61,Yes,9,98,61
22,79,No,7,75,65
25,80,Yes,9,57,68
8,73,Yes,6,65,61
22,65,Yes,10,81,63
27,75,Yes,7,51,67
13,87,Yes,6,98,66
30,91,Yes,7,78,75
23,81,No,7,85,68
16,84,No,7,75,65
20,68,No,6,98,64
23,71,Yes,4,79,67
20,66,Yes,6,83,64
23,70,Yes,9,93,67
14,69,Yes,6,93,63
21,81,Yes,4,51,67
12,83,Yes,5,64,65
19,98,Yes,7,62,70
15,68,Yes,6,50,62
16,86,Yes,7,94,69
27,93,Yes,6,66,70
27,82,Yes,9,67,68
24,70,No,8,55,68
13,71,Yes,10,99,64
18,62,Yes,6,91,63
27,72,Yes,7,79,68
21,90,Yes,9,89,67
34,62,No,8,89,68
22,69,Yes,6,83,66
21,88,Yes,8,59,67
18,91,No,8,86,69
21,78,Yes,4,78,68
19,88,No,6,86,70
24,76,No,7,77,68
26,66,Yes,9,98,66
15,76,Yes,8,81,67
12,83,No,6,79,65
9,98,No,6,92,67
23,63,No,8,69,63
13,80,Yes,4,66,64
7,73,Yes,6,75,64
22,80,No,9,79,66
35,61,Yes,7,61,68
20,73,Yes,6,84,67
25,93,No,5,90,72
20,82,Yes,8,79,67
19,78,No,7,76,66
26,71,No,7,65,66
18,72,Yes,8,95,67
22,75,No,7,88,65
22,93,No,7,74,70
16,99,Yes,5,83,69
26,78,Yes,5,67,69
19,76,Yes,8,53,66
15,94,No,8,60,66
23,77,Yes,8,54,67
15,82,Yes,6,75,67
20,69,Yes,8,81,67
20,90,Yes,6,69,72
27,81,Yes,9,77,68
23,92,Yes,6,54,70
20,91,Yes,6,88,69
25,69,Yes,7,52,65
28,89,No,8,82,72
23,92,No,7,72,69
20,74,Yes,7,59,68
12,67,No,6,76,62
14,60,Yes,7,89,60
18,78,Yes,7,71,67
16,74,Yes,6,68,67
19,82,Yes,7,57,67
20,68,Yes,7,80,63
23,94,Yes,10,91,71
20,70,Yes,6,78,66
23,69,Yes,6,58,65
20,79,Yes,7,83,69
8,80,No,6,52,63
14,69,Yes,5,92,64
19,71,No,5,96,67
13,67,Yes,6,80,62
24,89,Yes,6,94,68
29,91,No,5,54,71
27,78,No,7,61,66
19,89,Yes,4,66,69
29,89,Yes,8,89,71
21,66,Yes,6,74,66
18,99,No,6,67,72
16,93,Yes,8,58,70
18,68,No,8,91,65
18,67,No,6,51,64
21,65,Yes,8,67,63
21,66,No,9,62,63
20,90,No,5,56,66
23,79,Yes,8,59,68
27,91,Yes,5,75,74
26,90,No,9,71,71
11,84,Yes,6,76,67
5,87,No,6,86,66
26,61,Yes,9,95,67
12,72,Yes,8,56,62
19,86,No,6,54,68
13,60,Yes,7,66,62
9,61,Yes,6,77,82
23,94,No,5,55,70
25,87,No,7,86,72
17,71,Yes,6,78,64
4,88,No,6,87,66
17,92,Yes,9,68,68
22,72,No,6,70,64
11,61,Yes,7,90,61
21,97,Yes,9,63,69
20,74,No,7,69,68
23,64,No,6,51,64
21,80,No,7,78,67
14,91,Yes,8,93,67
27,69,No,8,51,65
19,71,Yes,10,81,68
20,70,Yes,6,92,67
14,100,No,7,75,67
17,68,Yes,5,66,64
15,83,Yes,8,100,70
19,97,No,7,53,69
30,66,No,7,61,66
12,99,No,6,94,69
10,98,Yes,6,65,66
29,95,Yes,7,91,73
19,69,Yes,6,67,66
16,85,Yes,7,91,69
26,90,Yes,7,84,70
16,99,Yes,5,73,71
31,67,Yes,5,76,70
24,91,Yes,6,59,69
17,74,No,9,56,63
33,67,Yes,6,86,71
16,77,No,7,92,67
24,92,Yes,5,86,73
22,79,Yes,6,96,68
28,82,Yes,5,95,69
29,100,Yes,8,89,76
20,76,Yes,5,95,68
15,85,No,8,58,65
23,75,Yes,8,87,66
16,76,No,7,88,65
32,88,No,8,58,69
21,98,Yes,10,95,71
18,82,Yes,8,50,66
21,91,No,5,72,69
12,64,No,9,51,59
14,68,No,7,76,65
27,80,No,10,71,72
16,61,Yes,6,81,60
14,70,Yes,9,88,64
23,81,No,7,88,69
27,61,Yes,10,86,70
24,71,Yes,7,55,67
26,81,No,10,71,67
15,83,Yes,8,91,64
11,97,Yes,8,83,68
29,86,No,10,84,72
18,77,Yes,6,61,65
18,97,No,8,66,70
28,91,No,7,98,75
23,68,Yes,7,92,65
23,65,Yes,7,58,63
33,87,No,8,77,71
16,82,Yes,8,75,66
26,92,Yes,6,72,69
20,90,No,7,74,68
22,85,No,4,82,71
29,99,Yes,8,98,77
23,81,Yes,10,94,70
23,65,No,7,94,66
26,93,No,5,85,73
18,70,Yes,8,51,62
15,91,No,6,72,65
14,98,Yes,7,76,71
8,88,Yes,8,92,66
32,84,Yes,8,96,72
13,78,Yes,9,73,64
19,75,No,7,65,63
18,74,Yes,7,67,63
22,85,No,8,79,72
25,90,Yes,7,64,71
25,87,Yes,6,96,72
17,68,Yes,8,71,65
19,80,Yes,5,100,67
22,92,Yes,7,55,68
19,79,Yes,5,59,66
30,81,No,6,76,72
23,91,No,6,93,71
24,86,No,6,68,70
24,76,No,9,92,68
27,96,No,9,71,72
21,67,Yes,9,93,66
12,100,No,7,64,69
22,65,Yes,6,74,65
16,61,No,8,64,62
17,96,No,7,61,69
24,70,Yes,7,71,65
27,89,No,4,67,69
20,92,Yes,8,89,69
22,94,Yes,8,87,73
30,100,Yes,7,68,75
21,72,Yes,8,100,70
36,88,No,8,99,74
23,65,Yes,6,96,65
9,76,No,7,79,63
25,94,No,5,71,74
22,75,Yes,9,66,67
28,84,Yes,8,51,71
24,80,Yes,6,82,68
19,86,No,8,78,69
13,99,No,7,81,71
19,62,Yes,6,79,66
15,83,Yes,7,57,65
17,95,Yes,8,85,66
24,79,Yes,8,68,65
30,63,No,10,76,67
22,82,No,7,68,70
13,73,Yes,7,51,63
23,66,No,8,94,64
27,94,Yes,7,57,71
16,81,Yes,6,79,68
19,97,No,6,94,72
20,92,Yes,4,61,71
15,88,Yes,8,71,64
24,60,Yes,5,69,64
19,77,Yes,6,54,66
23,68,Yes,7,71,68
15,96,No,7,74,68
17,67,Yes,10,51,65
24,71,Yes,5,74,67
18,81,Yes,10,55,64
30,71,Yes,9,95,70
18,68,Yes,8,83,65
21,84,No,9,53,65
26,64,No,8,91,68
11,62,Yes,4,68,61
9,75,No,8,61,63
11,89,Yes,5,63,65
28,82,Yes,6,80,69
17,77,No,7,54,64
35,83,No,6,53,69
17,75,Yes,8,81,67
21,97,Yes,7,99,74
29,62,Yes,8,74,66
32,87,Yes,7,71,72
32,96,Yes,7,97,73
27,92,No,6,62,73
26,67,Yes,5,62,63
24,72,Yes,7,95,69
25,89,Yes,6,82,71
17,63,No,9,53,63
15,92,Yes,5,84,69
20,89,Yes,10,91,72
19,89,Yes,7,64,68
17,64,No,7,69,62
24,89,Yes,6,60,68
26,87,Yes,8,82,71
21,93,Yes,7,83,67
29,62,Yes,7,53,65
13,61,Yes,8,84,60
19,75,Yes,8,83,68
16,66,Yes,9,52,59
9,82,No,8,78,64
20,97,Yes,6,81,71
19,76,No,4,72,68
29,94,Yes,7,95,70
24,60,No,7,66,62
14,67,No,10,53,62
31,61,No,7,84,68
27,73,No,8,80,68
23,96,Yes,8,99,74
19,64,No,8,62,61
14,84,Yes,8,70,67
18,78,No,6,73,65
27,98,Yes,6,93,101
31,65,Yes,7,71,65
29,68,No,4,89,67
17,61,Yes,7,58,61
13,77,No,6,70,64
21,71,No,7,58,64
9,95,Yes,7,97,67
22,84,Yes,5,59,69
19,85,Yes,9,71,69
17,81,No,7,54,67
10,64,No,8,96,62
23,78,No,7,81,66
17,100,No,8,98,72
13,93,Yes,5,52,67
3,96,Yes,9,59,66
20,93,Yes,8,69,67
31,64,Yes,7,81,67
30,69,Yes,7,66,68
17,60,Yes,9,86,63
16,72,No,6,58,62
23,64,Yes,5,80,65
14,79,Yes,6,70,65
22,87,Yes,7,75,70
25,95,No,7,78,73
27,90,Yes,9,53,73
19,98,Yes,6,96,68
19,62,No,6,89,63
15,60,Yes,5,72,62
15,86,Yes,8,77,69
19,72,No,5,52,66
22,70,Yes,8,75,68
25,73,Yes,6,71,67
15,71,Yes,6,69,65
29,80,Yes,10,91,70
18,78,Yes,9,59,64
20,80,Yes,7,59,65
16,87,No,5,76,67
5,75,Yes,10,84,62
25,70,Yes,7,51,66
24,67,Yes,7,77,68
18,74,No,8,65,64
20,90,No,4,88,69
23,90,Yes,6,73,69
11,87,Yes,7,92,67
17,69,Yes,7,70,61
25,84,Yes,5,91,70
12,83,Yes,7,86,65
22,79,Yes,7,91,66
12,82,Yes,10,91,66
23,80,Yes,9,74,69
20,83,Yes,7,68,67
10,89,Yes,7,88,71
27,64,Yes,9,68,68
16,90,No,7,54,67
15,65,No,5,93,63
21,63,No,10,70,64
27,99,Yes,6,57,73
14,98,Yes,10,82,69
20,62,No,8,94,65
23,78,Yes,6,93,70
24,67,Yes,4,78,67
21,79,Yes,8,54,67
18,93,Yes,5,85,70
15,98,No,8,80,69
21,85,No,10,61,68
14,74,No,5,95,66
2,84,No,8,54,62
23,72,Yes,6,69,67
25,96,Yes,9,55,71
6,95,Yes,7,96,68
14,82,Yes,7,52,66
24,73,Yes,9,71,64
32,72,Yes,8,93,71
20,61,Yes,6,63,61
16,93,No,10,55,67
19,78,Yes,5,56,65
28,73,Yes,7,70,66
16,79,Yes,6,71,68
15,93,No,5,86,66
17,65,No,5,62,63
14,94,Yes,7,85,66
21,96,No,8,100,73
30,98,Yes,9,93,88
22,76,No,9,82,67
18,69,Yes,7,97,69
18,75,Yes,6,100,67
11,73,Yes,9,79,64
25,67,Yes,6,64,64
20,84,No,5,96,65
19,79,No,8,92,68
39,95,Yes,9,54,77
22,61,Yes,6,97,63
15,86,Yes,10,68,69
17,91,Yes,8,66,69
27,90,No,8,67,70
21,95,Yes,6,66,73
11,89,Yes,9,76,66
26,97,No,5,79,71
16,73,Yes,6,71,66
31,80,Yes,6,71,71
26,61,Yes,5,87,66
17,60,Yes,8,50,63
28,70,Yes,8,97,70
20,64,Yes,8,86,66
25,70,No,7,85,66
23,67,No,8,71,66
15,61,No,7,98,62
16,96,No,6,50,69
26,60,Yes,6,54,63
18,89,Yes,4,90,68
18,66,No,9,87,64
14,96,Yes,9,64,69
23,96,Yes,10,80,71
32,86,Yes,6,77,71
14,87,No,6,76,66
20,60,Yes,4,80,63
28,99,Yes,8,100,72
20,95,Yes,8,99,70
23,96,No,9,99,71
14,86,Yes,6,77,65
23,74,Yes,8,66,65
19,96,No,6,78,67
26,72,No,9,81,68
27,83,Yes,8,66,70
36,64,Yes,5,82,70
23,97,Yes,7,81,72
22,66,No,4,95,65
21,69,Yes,5,62,65
18,82,Yes,5,85,71
22,91,Yes,6,73,74
18,85,No,7,56,64
21,69,No,7,66,64
28,60,Yes,7,53,65
14,90,Yes,7,66,67
27,99,No,7,53,73
28,92,No,5,96,72
19,78,No,7,55,65
7,96,No,9,91,67
16,76,Yes,7,95,66
28,81,Yes,8,73,70
20,79,No,8,53,66
14,78,Yes,8,80,66
17,91,Yes,7,62,68
25,81,Yes,8,59,68
23,73,No,8,78,67
19,70,Yes,8,68,65
18,62,Yes,8,87,64
18,83,No,5,80,70
14,69,No,5,91,63
30,66,No,6,53,65
18,86,Yes,9,62,67
27,87,Yes,7,78,71
29,90,Yes,7,94,73
26,80,No,4,91,67
17,96,Yes,7,84,72
22,97,No,7,79,71
20,92,Yes,4,82,72
15,85,Yes,7,61,68
22,72,Yes,5,80,65
13,99,No,6,75,68
27,71,No,8,69,67
17,68,No,7,94,66
21,78,Yes,6,91,64
22,62,No,6,54,65
18,99,No,6,99,69
24,84,Yes,7,61,68
17,82,No,5,61,69
25,86,Yes,9,97,70
12,80,No,5,72,65
21,61,No,4,90,63
32,84,Yes,8,64,71
14,89,Yes,6,94,68
16,77,Yes,7,92,70
23,90,Yes,8,76,72
21,69,Yes,6,85,64
22,69,No,7,98,64
23,66,Yes,8,73,66
24,75,Yes,9,75,69
27,94,No,6,86,71
22,93,Yes,6,69,69
19,75,No,8,98,67
24,84,Yes,7,52,66
31,89,No,7,70,71
19,70,Yes,9,86,63
14,67,No,4,71,62
27,99,No,5,63,73
19,85,No,4,71,66
7,99,Yes,9,94,72
25,74,Yes,8,77,67
17,88,No,5,67,65
19,69,Yes,7,84,66
22,70,Yes,7,81,68
21,80,Yes,4,78,69
24,73,Yes,7,70,68
17,67,Yes,5,54,61
23,71,Yes,8,81,68
18,61,Yes,5,71,64
24,88,Yes,7,71,67
24,80,Yes,9,62,68
14,64,No,8,62,61
27,67,No,8,89,66
17,64,Yes,7,74,64
25,85,No,5,55,67
22,64,No,6,52,64
31,90,No,7,61,72
19,61,No,7,74,62
18,70,Yes,5,81,63
20,96,No,8,57,70
18,89,No,5,72,69
25,63,Yes,9,54,64
10,93,No,7,52,66
14,80,Yes,8,93,67
14,94,Yes,8,83,71
26,84,Yes,10,89,70
30,87,No,7,59,69
19,100,No,6,66,68
19,69,Yes,6,72,64
20,85,Yes,9,83,70
27,78,Yes,5,77,69
14,62,Yes,6,78,63
21,61,No,7,58,60
26,65,No,7,74,65
23,86,No,8,91,67
21,83,No,5,75,66
26,82,No,7,60,68
4,61,Yes,7,71,58
24,79,Yes,5,88,67
16,97,Yes,8,57,68
9,76,Yes,7,79,62
23,85,No,7,98,69
28,91,Yes,6,69,73
19,91,No,6,52,66
26,81,Yes,5,82,67
30,94,No,8,52,71
28,76,Yes,9,60,66
30,96,Yes,10,52,74
24,70,No,8,59,67
20,71,No,6,93,68
10,62,No,6,87,61
19,92,No,8,67,69
15,77,Yes,7,95,65
33,69,Yes,7,83,71
19,69,No,7,72,61
21,96,Yes,9,53,70
23,93,No,6,87,70
20,82,Yes,9,69,69
30,85,Yes,7,65,70
16,79,Yes,6,64,67
21,76,No,6,50,63
16,97,No,7,87,70
12,65,No,8,57,61
16,77,Yes,6,76,64
20,74,Yes,8,51,65
17,80,No,6,81,65
16,78,Yes,7,68,66
12,81,Yes,5,82,66
20,66,Yes,8,54,63
11,81,Yes,7,63,66
25,70,Yes,9,56,64
20,67,No,8,82,65
11,63,No,7,55,62
18,91,Yes,9,81,71
15,77,Yes,8,57,63
22,85,No,9,97,70
28,89,Yes,6,71,70
9,87,No,8,56,65
21,79,Yes,8,52,66
19,76,Yes,5,66,66
24,75,No,9,95,68
21,86,No,5,57,68
15,80,Yes,5,90,69
18,94,Yes,4,71,71
15,95,Yes,8,90,69
26,67,Yes,5,94,68
20,65,Yes,6,100,67
31,85,No,8,53,72
20,72,Yes,7,90,68
16,61,Yes,6,53,60
11,96,No,5,66,68
9,69,Yes,7,82,65
10,97,No,8,72,67
22,89,No,8,78,70
23,91,Yes,10,98,70
11,68,No,6,91,61
25,69,Yes,5,68,68
17,81,No,7,80,67
21,67,No,7,52,62
30,72,No,7,73,66
25,73,Yes,6,80,69
18,66,Yes,4,86,66
15,68,Yes,5,95,64
7,92,No,8,64,66
16,67,No,7,95,63
19,61,Yes,8,83,62
14,85,Yes,8,54,65
19,99,No,8,69,68
20,73,Yes,8,74,65
19,65,Yes,7,68,63
16,83,Yes,7,56,68
21,96,Yes,4,78,72
23,91,No,6,57,69
13,85,No,6,96,66
28,73,Yes,7,93,68
19,82,No,6,74,64
20,64,Yes,8,53,61
24,87,No,6,78,67
21,89,Yes,9,80,68
26,99,No,6,94,74
22,70,Yes,6,53,67
16,61,Yes,6,85,64
22,82,No,6,78,69
13,88,Yes,9,59,63
21,92,No,7,56,67
20,68,Yes,7,85,65
19,70,Yes,6,67,67
19,81,No,7,100,68
9,73,Yes,7,95,62
17,94,Yes,7,78,70
21,79,Yes,7,82,67
21,92,Yes,9,58,89
14,83,Yes,7,95,65
28,91,Yes,5,73,69
15,73,No,7,76,64
26,93,No,6,94,74
23,71,No,8,50,64
16,82,No,7,75,64
31,69,Yes,9,81,67
13,79,Yes,6,58,63
26,73,Yes,7,53,68
26,71,Yes,5,77,66
16,99,Yes,7,77,68
28,66,No,5,67,68
18,91,No,7,94,69
22,99,No,7,65,71
22,61,Yes,7,76,65
19,88,Yes,8,59,67
25,70,No,7,51,65
25,62,No,5,71,65
10,76,No,6,76,80
28,97,Yes,7,88,74
10,60,No,7,72,59
26,84,No,7,64,69
27,80,Yes,9,80,66
13,95,Yes,7,69,66
18,63,No,8,62,65
13,87,Yes,4,96,67
19,87,No,8,77,69
18,87,Yes,10,60,68
25,98,Yes,9,84,73
28,93,Yes,6,90,71
28,62,Yes,10,88,67
17,79,Yes,7,80,67
19,76,No,7,76,66
10,72,No,7,89,63
15,78,No,7,85,65
26,75,Yes,4,79,67
30,77,Yes,8,83,69
13,99,Yes,7,58,67
16,64,Yes,7,51,66
20,97,Yes,7,97,74
22,79,No,6,97,69
15,85,Yes,7,89,66
23,93,Yes,9,69,69
17,74,Yes,8,58,63
20,77,Yes,7,68,65
23,76,No,7,86,64
20,75,No,7,67,64
17,97,Yes,6,90,69
19,93,No,7,84,73
19,64,Yes,8,81,62
18,64,Yes,7,97,62
18,77,Yes,6,95,68
30,64,No,7,86,66
23,85,Yes,8,60,68
18,66,Yes,5,97,66
24,81,Yes,6,61,69
18,60,Yes,5,69,62
27,73,No,7,91,68
22,87,No,8,60,67
19,79,No,9,82,65
23,99,No,9,73,69
11,95,No,6,81,67
13,74,Yes,7,98,64
13,62,Yes,6,90,62
21,94,Yes,9,65,71
30,96,Yes,9,53,72
33,93,Yes,7,98,74
24,65,No,6,79,66
23,100,Yes,4,59,72
9,70,No,5,81,65
17,89,Yes,4,52,67
15,96,Yes,5,59,70
16,69,Yes,10,82,62
19,96,Yes,5,70,66
17,72,Yes,5,66,65
8,99,Yes,6,83,70
24,71,Yes,10,93,69
14,98,Yes,7,84,70
21,62,No,8,73,66
32,88,Yes,7,83,73
14,81,No,4,85,69
5,79,Yes,9,89,66
18,69,Yes,8,65,65
27,88,No,7,56,70
32,68,No,10,84,70
13,82,No,6,56,67
23,70,Yes,7,73,68
17,98,Yes,6,62,68
19,61,No,9,67,61
36,68,Yes,8,74,70
11,70,No,7,95,65
22,77,Yes,5,84,66
23,69,Yes,6,59,67
27,80,Yes,5,94,69
21,95,No,9,75,69
22,88,Yes,5,60,67
18,83,No,9,76,66
22,64,Yes,9,60,63
18,88,No,6,68,67
24,67,Yes,6,90,64
18,91,No,6,83,68
22,70,Yes,8,74,65
20,77,No,9,61,65
27,74,Yes,9,64,65
20,94,Yes,6,99,70
9,65,Yes,9,67,62
28,83,No,9,81,68
15,66,Yes,7,75,62
16,88,Yes,7,51,68
16,96,Yes,9,97,72
28,77,Yes,9,54,70
7,80,No,9,83,62
39,97,Yes,10,91,79
26,81,Yes,8,87,73
21,80,Yes,7,90,68
20,83,Yes,9,87,68
22,88,Yes,10,72,69
23,64,Yes,6,95,63
24,93,Yes,7,96,74
23,77,Yes,5,72,69
21,63,No,8,74,61
19,91,Yes,8,74,69
19,75,No,6,64,64
19,64,Yes,9,56,63
27,85,No,6,63,68
24,95,Yes,6,92,72
2,96,Yes,9,77,65
24,98,No,6,93,69
21,95,No,5,87,70
20,60,Yes,8,67,63
18,75,Yes,7,59,62
27,93,Yes,9,78,72
26,75,No,8,97,69
15,84,No,4,92,66
22,84,Yes,9,88,71
14,75,No,10,88,62
12,96,Yes,9,76,68
16,80,No,9,58,63
25,79,Yes,7,64,66
26,100,Yes,6,79,75
23,80,Yes,7,66,69
24,67,No,8,89,68
23,81,No,8,69,69
16,93,No,6,56,67
23,91,Yes,6,89,73
25,92,Yes,5,85,71
25,88,Yes,8,63,71
27,70,No,6,99,68
24,94,No,7,70,70
22,96,Yes,10,84,71
26,68,No,8,96,69
20,65,No,7,58,63
15,99,Yes,8,94,71
19,95,Yes,9,85,69
16,96,Yes,5,58,71
16,95,No,6,83,68
19,82,No,7,94,68
15,86,No,6,90,66
18,82,No,7,88,67
9,62,Yes,5,58,59
21,90,No,8,60,66
20,80,No,6,77,64
15,86,No,7,79,64
24,80,Yes,7,97,69
26,80,No,8,73,69
10,67,No,4,65,61
15,71,No,8,60,62
15,66,No,7,53,61
14,68,Yes,8,53,63
25,99,No,5,79,71
19,66,Yes,8,59,65
18,71,Yes,9,93,68
8,84,No,7,80,67
24,84,Yes,6,93,70
13,66,Yes,6,71,64
20,92,No,8,80,71
22,91,Yes,8,76,71
28,69,No,8,99,67
12,72,Yes,7,90,63
2,98,Yes,7,80,66
21,93,Yes,7,80,70
31,88,No,6,62,70
27,63,Yes,8,87,67
21,77,No,7,99,69
17,82,No,9,56,66
25,67,No,9,82,67
14,78,Yes,7,76,65
23,84,Yes,8,93,72
23,73,No,6,50,68
26,91,Yes,7,57,72
37,94,Yes,8,52,76
22,73,Yes,5,58,65
17,94,No,8,85,68
20,64,Yes,6,57,65
9,94,Yes,6,81,66
16,66,No,6,93,63
18,63,No,7,52,63
17,86,Yes,5,51,66
21,79,Yes,8,99,69
15,96,Yes,7,84,72
27,75,Yes,10,57,66
20,71,Yes,7,65,64
20,80,Yes,8,99,67
18,78,Yes,6,61,67
21,74,Yes,5,88,66
25,88,Yes,8,62,68
15,90,No,5,70,65
16,94,Yes,8,94,71
18,99,Yes,10,51,71
12,71,Yes,8,65,62
15,89,Yes,8,74,69
17,76,No,7,81,65
25,87,No,6,51,70
22,79,Yes,7,71,66
21,100,No,6,67,70
25,89,No,5,51,70
19,98,Yes,7,68,69
22,93,Yes,9,97,71
19,96,No,5,64,69
22,93,No,9,79,73
17,78,Yes,9,65,65
5,70,Yes,8,55,62
19,75,No,8,64,67
29,61,Yes,7,74,65
26,81,No,7,65,65
26,80,Yes,6,81,70
27,81,Yes,7,97,70
21,99,Yes,7,53,71
21,96,No,10,86,71
16,66,Yes,8,50,62
18,75,No,7,50,65
24,77,Yes,7,57,84
27,74,Yes,6,74,68
19,92,Yes,6,52,70
17,81,No,8,86,68
20,83,No,6,51,67
24,94,Yes,6,75,69
11,92,Yes,6,84,68
6,65,No,6,62,59
17,89,Yes,9,79,67
13,77,Yes,7,63,63
17,72,Yes,7,61,65
19,62,No,7,91,63
17,79,No,7,67,64
29,74,Yes,6,91,72
22,70,Yes,5,61,63
22,88,No,9,68,66
24,91,Yes,8,55,67
13,70,Yes,8,75,66
26,62,Yes,8,69,66
20,94,Yes,10,50,68
24,60,No,6,73,66
14,97,Yes,5,54,68
11,85,Yes,8,92,65
25,73,Yes,5,75,67
22,70,No,7,85,64
15,60,No,7,91,59
15,69,Yes,8,53,60
27,66,No,6,67,65
13,84,Yes,9,51,64
30,67,No,6,52,66
15,81,Yes,8,52,65
24,84,Yes,6,74,69
18,72,Yes,8,73,66
24,61,Yes,5,53,65
17,61,No,7,63,62
